,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida_,EBIT,EBIT_,Lucro Líquido,Lucro Líquido_,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ_,Rec Serviços,Rec Serviços_
ESTR4,ESTR4,38.98,PN,11/03/2020,ESTRELA PN,13.5,Viagens e Lazer,40.0,Brinquedos e Jogos,4639.0,31495800.0,31/12/2019,79748800.0,808000.0,0.0,-0.77,-50.59,0.0,-0.07,-592.25,-0.0253,-4.68,0.502,1.9308,0.28,-0.06,0.1074,0.15,-0.364,1.8159999999999998,-0.07,-0.033,0.1261,-0.05,-0.037000000000000005,-0.11900000000000001,0.0,0.085,0.4,-26.62,0.16,0.40630000000000005,-11.84,-0.11,-0.083,0.54,205960000.0,50592000.0,2339000.0,48253000.0,86163000.0,-478535000.0,112155000.0,20772000.0,-6737000.0,-12459000.0,-40874000.0,-15860000.0,,,,,,
ETER3,ETER3,2.65,ON,09/04/2020,ETERNIT ON,1.91,Construção e Engenharia,7.3,Materiais de Construção,2034700.0,84201100.0,31/12/2019,188417000.0,31774000.0,0.0352,-6.66,-0.4,0.0352,-29.84,-0.09,-0.3375,-1.64,0.14,0.3184,0.17,-0.105,-0.3779,0.15,-0.026000000000000002,0.5268999999999999,21.15,-0.094,-0.4927,-0.27,-0.10800000000000001,-0.3038,0.0,4.482,-0.368,-5.75,1.02,-0.2845,-3.67,-40.25,-0.166,0.9,545587000.0,113574000.0,9358000.0,104216000.0,232558000.0,-2822000.0,488671000.0,120692000.0,-51302000.0,-4381000.0,-12647000.0,6695000.0,,,,,,
EUCA3,EUCA3,12.31,ON,09/04/2020,EUCATEX ON,6.0,Madeira e Papel,134.0,Madeira,105373.0,1140140000.0,31/12/2019,1554830000.0,92619000.0,-0.004,17.36,0.71,0.009000000000000001,0.86,14.32,-0.115,7.5,0.281,0.5085999999999999,0.75,0.1,-0.8073999999999999,0.5,0.043,5.797899999999999,13.16,0.066,0.35840000000000005,-3.97,0.07200000000000001,0.7431,0.003,0.05,-0.5911,5.44,1.14,-0.0040999999999999995,10.22,0.33,0.07,0.66,2299000000.0,433154000.0,18466000.0,414688000.0,685179000.0,1326730000.0,1525780000.0,397493000.0,152085000.0,41229000.0,65683000.0,31586000.0,,,,,,
EUCA4,EUCA4,4.19,PN,09/04/2020,EUCATEX PN,3.1,Madeira e Papel,8.53,Madeira,375156.0,388074000.0,31/12/2019,802762000.0,92619000.0,-0.0024,5.91,0.71,-0.0689,0.29,14.32,-0.2751,2.55,0.281,-0.0095,0.25,0.1,-0.49520000000000003,0.17,0.043,0.9438,4.48,0.066,0.1091,-1.35,0.07200000000000001,0.43119999999999997,0.011000000000000001,0.05,0.026699999999999998,2.81,1.14,-0.1603,5.28,0.33,0.07,0.66,2299000000.0,433154000.0,18466000.0,414688000.0,685179000.0,1326730000.0,1525780000.0,397493000.0,152085000.0,41229000.0,65683000.0,31586000.0,,,,,,
EVEN3,EVEN3,6.35,ON NM,09/04/2020,Even ON NM,5.31,Construção e Engenharia,19.21,Construção Civil,30264400.0,1377950000.0,31/12/2019,1852310000.0,217000000.0,0.0242,11.56,0.55,0.0393,0.83,7.69,-0.4227,7.61,0.249,0.07629999999999999,0.72,0.095,-0.5919,0.28,0.075,1.5933000000000002,0.62,0.036000000000000004,0.0453,3.1,0.046,0.5514,0.0,0.071,-0.056100000000000004,9.73,2.65,-0.17300000000000001,10.23,0.84,-0.044000000000000004,0.38,4983540000.0,1405760000.0,931392000.0,474363000.0,3550720000.0,1668620000.0,1913000000.0,479638000.0,181109000.0,31460000.0,119191000.0,30576000.0,,,,,,
EZTC3,EZTC3,30.2,ON NM,09/04/2020,EZTec ON NM,19.97,Construção e Engenharia,60.16,Construção Civil,118198000.0,6855400000.0,31/12/2019,5590020000.0,227000000.0,-0.0118,24.39,1.24,0.0168,1.82,16.57,-0.2216,48.72,0.408,0.3956,8.52,0.175,-0.4181,1.6,0.361,1.528,3.24,0.033,0.18530000000000002,3.47,0.048,0.6448,0.003,0.075,0.3693,37.2,7.41,-0.32659999999999995,39.73,0.01,-0.04,0.19,4275920000.0,41537000.0,1306910000.0,-1265380000.0,2444500000.0,3762040000.0,804390000.0,308598000.0,140715000.0,69326000.0,281083000.0,107632000.0,,,,,,
FESA3,FESA3,22.0,ON,02/04/2020,FERBASA ON,18.88,Siderurgia e Metalurgia,33.27,Siderurgia,3869.0,1943040000.0,31/12/2019,2263080000.0,88320000.0,0.0,8.79,2.5,0.1,1.06,20.74,-0.32289999999999996,16.55,0.20199999999999999,-0.16260000000000002,1.52,0.092,-0.33880000000000005,0.71,0.17300000000000001,0.42090000000000005,4.44,0.043,0.34,-9.06,0.047,0.7343999999999999,0.055999999999999994,0.121,0.3617,7.46,2.71,-0.442,19.28,0.27,0.08900000000000001,0.47,2746440000.0,494397000.0,174354000.0,320043000.0,693753000.0,1832110000.0,1279550000.0,286675000.0,117378000.0,15513000.0,221176000.0,-1084000.0,,,,,,
FESA4,FESA4,13.79,PN,09/04/2020,FERBASA PN,10.39,Siderurgia e Metalurgia,23.11,Siderurgia,5491150.0,1217930000.0,31/12/2019,1537980000.0,88320000.0,-0.0079,5.51,2.5,0.0632,0.66,20.74,-0.0745,10.38,0.20199999999999999,-0.3041,0.95,0.092,-0.31079999999999997,0.44,0.17300000000000001,0.0364,2.78,0.043,0.0608,-5.68,0.047,1.8034000000000001,0.098,0.121,0.1989,5.07,2.71,-0.0163,13.1,0.27,0.08900000000000001,0.47,2746440000.0,494397000.0,174354000.0,320043000.0,693753000.0,1832110000.0,1279550000.0,286675000.0,117378000.0,15513000.0,221176000.0,-1084000.0,,,,,,
FHER3,FHER3,2.02,ON NM,09/04/2020,Fer Heringer ON NM,1.31,Químicos,4.68,Fertilizantes e Defensivos,670553.0,108791000.0,31/12/2019,251395000.0,53857000.0,-0.0288,0.17,12.13,0.030600000000000002,3.47,0.58,-0.2016,-0.76,0.066,-0.09820000000000001,0.09,-0.122,-0.4404,0.07,0.5529999999999999,-0.1978,0.42,-0.091,0.7646999999999999,-0.14,-0.109,0.2439,0.0,20.813000000000002,0.5185,-2.21,1.51,-0.7399,-1.75,5.18,-0.309,0.75,1579930000.0,162638000.0,20034000.0,142604000.0,762333000.0,31385000.0,1181340000.0,488585000.0,-144022000.0,-50535000.0,653221000.0,899699000.0,,,,,,
FLRY3,FLRY3,21.55,ON NM,09/04/2020,FLEURY ON NM,18.14,Saúde,32.8,"Serviços Médico - Hospitalares, Análises e Diagnósticos",86269200.0,6826780000.0,31/12/2019,7578930000.0,316788000.0,-0.0042,21.86,0.99,0.0647,3.88,5.55,-0.2021,12.02,0.306,-0.033,2.35,0.196,-0.27690000000000003,1.34,0.10800000000000001,0.6188,9.25,0.111,-0.3099,-3.69,0.138,0.6890999999999999,0.043,0.17800000000000002,1.3794,8.53,1.99,0.0,13.34,0.88,0.11599999999999999,0.57,5096650000.0,1556410000.0,804264000.0,752146000.0,1485200000.0,1758980000.0,2905110000.0,720115000.0,568005000.0,127769000.0,312317000.0,56075000.0,,,,,,
FRAS3,FRAS3,4.05,ON,09/04/2020,FRAS-LE S.A. ON,3.3,Material de Transporte,7.34,Material Rodoviário,1081890.0,881142000.0,31/12/2019,1060210000.0,217566000.0,-0.012199999999999999,23.89,0.17,0.0227,1.15,3.51,-0.17350000000000002,8.11,0.256,-0.1492,0.65,0.08,-0.2895,0.54,0.024,0.3103,2.27,0.067,-0.10490000000000001,-7.98,0.083,0.3171,0.07400000000000001,0.048,0.1677,5.98,2.14,0.0361,9.76,0.51,0.131,0.84,1620020000.0,392526000.0,213463000.0,179063000.0,730261000.0,764159000.0,1365510000.0,370820000.0,108653000.0,37450000.0,36889000.0,-3223000.0,,,,,,
FRIO3,FRIO3,56.2,ON NM,02/04/2020,Metalfrio ON NM,48.0,Equipamentos Elétricos,109.08,Equipamentos Elétricos,16002.0,230813000.0,31/12/2019,724563000.0,4107000.0,0.0,10.59,5.31,-0.1855,4.07,13.82,-0.2507,3.53,0.168,0.17079999999999998,0.16,0.044000000000000004,-0.0787,0.14,0.032,0.0339,3.06,0.04,0.4048,-0.69,0.087,0.6279,0.0,0.384,0.2113,6.55,1.07,-0.4274,11.09,18.15,0.096,0.91,1627350000.0,1030190000.0,536436000.0,493750000.0,1164530000.0,56755000.0,1480780000.0,374845000.0,65345000.0,20170000.0,21791000.0,20810000.0,,,,,,
FRTA3,FRTA3,5.39,ON NM,09/04/2020,POMIFRUTAS ON NM,1.8,Agropecuária,13.7,Agricultura,225018.0,10786000.0,31/12/2019,10839800.0,2001110.0,0.0037,18066.9,0.0,-0.2514,-158.68,-0.03,0.4412,-4101.13,0.292,-0.0019,1130.01,-0.276,-0.33039999999999997,330.53,0.063,0.5600999999999999,-135.81,-0.081,-0.4028,-110.38,-0.09300000000000001,-0.617,0.0,-0.009000000000000001,0.1091,-5972.37,0.04,-0.0029,-4121.61,-0.79,-0.846,0.29,32632.0,54026.0,142.0,53884.0,2891.0,-67972.0,9545.0,-9529460.0,-2630.0,1478370.0,597.0,-2186400.0,,,,,,
GBIO33,GBIO33,9.6,DR3,09/04/2020,BIOTOSCANA DR3,7.08,Saúde,10.55,Medicamentos e Outros Produtos,1851770.0,1023570000.0,31/12/2019,1165880000.0,106622000.0,0.0021,639.13,0.02,0.0435,1.38,6.95,0.001,8.65,0.465,0.203,1.38,0.159,-0.0342,0.82,0.002,0.19899999999999998,6.94,0.095,-0.5976,18.41,0.11900000000000001,-0.2446,0.0,0.002,0.0,9.85,1.36,0.0,9.85,0.26,-0.019,0.6,1246950000.0,190284000.0,47974400.0,142309000.0,561996000.0,740564000.0,743097000.0,199988000.0,118334000.0,24943300.0,1601520.0,-26376600.0,,,,,,
GEPA3,GEPA3,39.0,ON,07/04/2020,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON",33.67,Energia Elétrica,48.88,Energia Elétrica,5665.0,3682890000.0,31/12/2019,3933530000.0,94433000.0,0.0,14.95,2.61,0.0263,2.37,16.42,-0.1076,7.73,0.38299999999999995,0.1522,2.66,0.345,-0.17,0.83,0.17800000000000002,0.6002000000000001,-8.55,0.10800000000000001,-0.0867,-2.35,0.213,0.2157,0.084,0.159,-0.2184,5.64,0.75,0.0,8.26,0.89,0.025,0.31,4411780000.0,1372550000.0,1121910000.0,250639000.0,1292320000.0,1550800000.0,1382480000.0,316878000.0,476300000.0,59717000.0,246390000.0,28425000.0,,,,,,
GEPA4,GEPA4,44.2,PN,09/04/2020,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN",36.71,Energia Elétrica,56.0,Energia Elétrica,79774.0,4173940000.0,31/12/2019,4424580000.0,94433000.0,0.0073,16.94,2.61,-0.0176,2.69,16.42,-0.0391,8.76,0.38299999999999995,0.1967,3.02,0.345,-0.0699,0.95,0.17800000000000002,0.3643,-9.69,0.10800000000000001,0.0217,-2.66,0.213,0.2183,0.07400000000000001,0.159,-0.017,6.34,0.75,-0.3044,9.29,0.89,0.025,0.31,4411780000.0,1372550000.0,1121910000.0,250639000.0,1292320000.0,1550800000.0,1382480000.0,316878000.0,476300000.0,59717000.0,246390000.0,28425000.0,,,,,,
GFSA3,GFSA3,3.7,ON,09/04/2020,GAFISA ON,2.8,Construção e Engenharia,10.15,Construção Civil,27311000.0,444000000.0,31/12/2019,760348000.0,120000000.0,0.0571,-32.31,-0.11,-0.0263,0.5,7.45,-0.23079999999999998,9.11,0.294,-0.4583,1.11,0.122,-0.5732,0.17,-0.035,-0.4292,0.81,0.019,-0.174,3.1,0.024,0.307,0.0,-0.015,-0.2183,12.08,1.44,0.1666,15.59,0.82,-0.29100000000000004,0.16,2551890000.0,730678000.0,414330000.0,316348000.0,1800170000.0,893708000.0,400465000.0,116173000.0,48759000.0,10838000.0,-13742000.0,47004000.0,,,,,,
GGBR3,GGBR3,9.56,ON N1,09/04/2020,GERDAU S.A. ON N1,7.62,Siderurgia e Metalurgia,19.42,Siderurgia,1346710.0,16439900000.0,31/12/2019,26195200000.0,1719660000.0,-0.0304,13.66,0.7,0.027999999999999997,0.61,15.68,-0.1905,5.93,0.106,-0.2275,0.41,0.07,-0.44020000000000004,0.3,0.031,0.43060000000000004,1.52,0.051,0.213,-1.91,0.063,0.31989999999999996,0.022000000000000002,0.045,1.2913999999999999,5.4,2.46,-0.5671,9.45,0.6,0.001,0.73,54003000000.0,16049900000.0,6294600000.0,9755270000.0,18235700000.0,26955700000.0,39644000000.0,9533460000.0,2772830000.0,329957000.0,1203740000.0,99569000.0,,,,,,
GGBR4,GGBR4,10.7,PN N1,09/04/2020,GERDAU S.A. PN N1,8.64,Siderurgia e Metalurgia,22.23,Siderurgia,258775000.0,18400400000.0,31/12/2019,28155600000.0,1719660000.0,-0.0317,15.29,0.7,0.0647,0.68,15.68,-0.1925,6.64,0.106,-0.3035,0.46,0.07,-0.46409999999999996,0.34,0.031,0.3765,1.7,0.051,0.2231,-2.14,0.063,0.1523,0.02,0.045,1.3273,5.81,2.46,-0.4732,10.15,0.6,0.001,0.73,54003000000.0,16049900000.0,6294600000.0,9755270000.0,18235700000.0,26955700000.0,39644000000.0,9533460000.0,2772830000.0,329957000.0,1203740000.0,99569000.0,,,,,,
