Ticker;Nome da Empresa;Setor;Subsetor;Nota dos Usuários;Segmento de Listagem;Tag Along;Free Float;Vol Histórica;Tickers Opções;LIQUIDEZ MEDIA DIARIA;P/L;lpa_pos_years;lpa_last_negative_year;lpa_trend;P/ATIVOS;P/VP;vpa_trend;MARGEM BRUTA;margembruta_pos_years;margembruta_last_negative_year;margembruta_trend;MARGEM EBIT;MARG. LIQUIDA;margemliquida_pos_years;margemliquida_last_negative_year;margemliquida_trend;EV/EBIT;LIQ. CORRENTE;liquidezcorrente_trend;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_trend;DIV. LIQ. / PATRI.;dividaliquida_patrimonioliquido_trend;PASSIVOS / ATIVOS;passivo_ativo_trend;P. AT CIR. LIQ.;Div Br/ Patrim;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq
AESB3;AES Brasil;Energia Elétrica;Energia Elétrica;3.1;Novo Mercado;100% ON;40,68% ON;22.202490992289;35.0;31327732.21;40.59;1.0;;-0.9202160685457756;0.32;1.43;-0.0301428675750276;35.54;1.0;;0.1709711792166004;28.78;4.9;1.0;;-2.0632183908044173;16.88;1.11;-0.1659852820932372;9.96;1.5030911456676987;2.06;0.1126629422718881;0.72;1.50822362144662;-0.39;2.62;11697000000.0;2470840000.0;9226130000.0;3337520000.0;4469480000.0
DXCO3;Dexco;Madeira e Papel;Madeira;3.2;Novo Mercado;100% ON;33,89% ON;45.01692420304;61.0;22814515.67;7.79;1.0;;0.0449606807617037;0.38;0.99;0.0081742807169893;33.51;1.0;;-0.0086516388448895;18.39;10.95;1.0;;-0.0093750242644945;7.91;1.34;-0.0160284951024032;3.27;-0.0001770758554677;0.7;0.0361415438861643;0.61;0.0202867124442791;-0.54;0.95;6077760000.0;1618530000.0;4459230000.0;4749000000.0;6411570000.0
CEAB3;C&A;Comércio;Tecidos, Vestuário e Calçados;3.1;Novo Mercado;100% ON;33,83% ON;70.787765181804;70.0;20154590.88;47.99;0.8333333333333334;2020.0;-0.1370514064015758;0.26;0.79;0.0484300535932844;51.91;1.0;;0.0164472271145683;6.1;0.73;0.7777777777777778;2020.0;0.1288598574821462;7.33;1.59;-0.3664408049790058;1.55;0.5202532769181196;0.21;0.2834608030593035;0.68;-0.0076791808873705;-0.49;0.61;1723130000.0;1119610000.0;603526000.0;4185970000.0;2842690000.0
NEOE3;Neoenergia;Energia Elétrica;Energia Elétrica;3.6;Novo Mercado;100% ON;16,08% ON;26.082925831799;23.0;17520833.46;4.86;1.0;;0.0935451042917827;0.26;0.86;0.0871366393574879;26.13;1.0;;-0.0329961772089779;21.96;11.89;1.0;;-0.0657550847748313;6.59;1.06;-0.1097712327498255;3.96;0.0430857389988132;1.29;0.058501654402695;0.7;0.0281764190439146;-0.34;1.54;45499000000.0;7548000000.0;37951000000.0;22299000000.0;29475000000.0
RAPT4;Randoncorp;Material de Transporte;Material Rodoviário;4.1;Nível 1;80% ON - 80% PN;9,44% ON - 83,08% PN - 57,03% Total;32.017451925247;20.0;22980376.5;8.91;1.0;;-0.0118800027934172;0.29;1.26;0.0702659673665726;25.06;1.0;;0.0052089150632068;11.93;3.72;0.875;2016.0;0.0098511459399848;4.91;2.1;-0.0220318237454121;2.14;-0.0353174603174589;0.97;0.0442592304097233;0.68;0.0144285272596071;-0.7;1.79;5257010000.0;2404890000.0;2852120000.0;7444750000.0;2944690000.0
LEVE3;Mahle Metal Leve;Automóveis e Motocicletas;Automóveis e Motocicletas;4.5;Novo Mercado;100% ON;;39.713739992899;24.0;21683692.0;6.37;1.0;;0.0545200465163759;1.45;2.91;-0.0468171836031138;28.88;1.0;;0.0136573751598882;18.76;16.16;1.0;;0.0499171491315637;5.47;1.91;-0.0062542340421279;-0.02;-1.285919165579945;-0.01;0.7467032967033391;0.5;-0.0048780487804864;-4.11;0.31;489698000.0;509196000.0;-19498000.0;2037460000.0;1568530000.0
AMER3;Americanas;Comércio;Produtos Diversos;1.2;Novo Mercado;100% ON;69,88% ON;70.640023138114;13.0;12220613.63;-0.06;0.0;2024.0;0.0940128401132878;0.02;-0.03;0.182964467047779;19.46;1.0;;-0.0222456225022901;-30.26;-50.03;0.125;2024.0;0.0857141742177596;-2.23;0.34;-0.0822807707432146;-2.14;6.667515151517603;;0.5122279129322176;1.85;0.0378442437923274;-0.05;-0.85;22749500000.0;6072940000.0;16676600000.0;17048700000.0;-26666600000.0
ALUP11;Alupar;Energia Elétrica;Energia Elétrica;4.1;Nível 2;100% ON - 100% PN - 100% UNIT;17,53% ON - 74,33% PN - 35,76% Total;18.639268073903;19.0;19284751.96;11.96;1.0;;-0.0180486677677367;0.32;1.18;-0.0209178037121863;75.83;1.0;;-0.0078512618149692;71.87;23.53;1.0;;0.0159885984186607;7.83;1.89;0.0137310175502416;3.91;-0.0008660119728258;1.18;-0.0646792579347401;0.62;0.0068575553416743;-0.39;1.54;11620100000.0;2716200000.0;8903920000.0;5382210000.0;7541460000.0
HBSA3;Hidrovias do Brasil;Transporte;Transporte Hidroviário;2.7;Novo Mercado;100% ON;50,68% ON;44.091363496181;5.0;14744232.75;53.13;0.4545454545454545;2022.0;-0.1102612646724605;0.44;1.78;-6.547106858989515e-05;38.61;1.0;;0.0292865362485732;23.12;2.64;0.4545454545454545;2022.0;0.7542429549436502;13.74;2.44;0.000523112041088;7.67;0.0488520603205269;2.25;0.0726421119863658;0.75;0.0248838255134191;-0.56;2.75;4356520000.0;797110000.0;3559410000.0;1396150000.0;1585400000.0
CBAV3;CBA;Mineração;Minerais Metálicos;2.9;Novo Mercado;100% ON;32,12% ON;53.566957274908;31.0;16678164.58;-2.0;0.5;2024.0;0.5696809713501201;0.19;0.53;-0.014797517902735;-12.43;0.6;2024.0;0.7199150978220707;-12.73;-11.59;0.4;2024.0;0.1499838553438961;-4.09;2.26;0.0563258232235683;-2.28;0.573657474600948;0.66;0.1132075471698164;0.63;-0.0098360655737709;-0.29;0.93;4469460000.0;1326540000.0;3142920000.0;4912740000.0;4784200000.0
