TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
VIVT3;50.75;4.06;17.21;1.21;0.7;42.85;14.76;9.61;11.21;12.98;1.76;0.19;1.65;-51.06;-0.83;0.92;7.03;4.06;7.74;0.58;0.42;0.42;2.14;1.12;98598811.75;41.92;2.95;-1.57;83868859270.0
TIMS3;17.39;5.23;18.36;1.65;0.75;51.02;17.14;9.81;10.5;10.6;0.1;0.02;1.8;-14.61;-0.93;0.79;8.97;4.1;12.16;0.46;0.54;0.42;5.81;13.18;97879218.31;10.56;0.95;2.72;42097788481.22
CRFB3;10.98;1.35;30.14;1.17;0.26;19.28;4.13;0.7;5.08;8.78;3.69;0.85;0.21;-5.94;-0.47;0.91;3.88;0.88;9.16;0.23;0.76;1.26;15.4;-13.64;94979006.08;9.38;0.36;-0.42;23149072632.78
GOAU4;10.02;15.87;3.77;0.58;0.13;17.5;16.6;3.8;0.86;1.24;0.38;0.25;0.14;0.48;-0.23;3.02;15.29;3.54;15.06;0.23;0.33;0.93;17.42;;93659579.69;17.38;2.66;-0.09;10413432172.26
USIM5;9.03;3.64;-31.2;0.48;0.28;8.47;-2.09;-1.27;-18.97;-19.1;-0.58;0.01;0.4;0.85;-0.53;3.43;-1.55;-0.9;-2.06;0.58;0.35;0.71;24.78;;89846728.89;18.71;-0.29;0.29;11040252678.48
KLBN11;21.78;6.22;8.5;2.19;0.47;39.1;24.14;15.48;5.45;10.1;4.65;1.87;1.32;3.36;-0.64;2.16;25.81;5.57;8.05;0.22;0.74;0.36;19.06;40.17;87490608.69;9.93;2.56;-0.22;24471540845.14
BRKM5;18.29;;-3.09;2.9;0.16;2.65;-4.95;-6.47;-4.04;-10.73;-6.61;4.75;0.2;1.11;-0.27;1.54;-93.87;-5.12;-11.04;0.05;0.95;0.79;14.4;;87105281.97;6.3;-5.91;0.01;14856449161.58
HYPE3;31.59;3.9;11.31;1.76;0.82;63.15;32.88;21.6;7.43;10.26;2.83;0.67;2.44;5.24;-1.24;1.89;15.53;7.29;12.12;0.47;0.53;0.34;16.61;12.88;85245944.06;17.98;2.79;1.24;20009763798.57
BBDC3;13.7;7.39;10.53;0.88;0.08;30.94;3.95;6.18;16.49;17.49;;;0.65;0.63;-0.09;11.4;8.33;0.73;;0.09;0.91;0.12;8.37;-4.12;84180634.0;15.62;1.3;-0.25;154615428931.62
IRBR3;40.92;;89.46;0.81;0.16;-1.79;-8.51;0.58;-6.11;-6.11;;;0.52;-1.27;-0.41;0.83;0.9;0.17;;0.19;0.81;0.3;8.26;-47.29;83999737.28;50.69;0.46;-0.86;3366202451.04
ENEV3;12.9;;61.61;1.58;0.42;35.96;23.06;3.43;9.16;16.36;7.2;1.24;2.11;11.62;-0.54;1.18;2.56;0.68;5.45;0.26;0.69;0.2;17.63;28.28;83915089.19;8.17;0.21;-0.9;20440983676.2
TRPL4;26.23;8.4;7.32;0.96;0.49;59.76;62.57;41.02;4.8;7.55;2.0;0.4;3.0;6.23;-0.59;1.9;13.14;6.72;11.65;0.51;0.47;0.16;15.07;11.59;83121570.44;27.28;3.59;-0.86;20003752136.52
VIVA3;34.77;1.04;21.45;4.38;2.72;69.55;21.53;18.65;18.58;18.74;0.15;0.04;4.0;7.1;-6.37;3.01;20.4;12.67;19.88;0.62;0.38;0.68;;;81041696.11;7.95;1.62;1.35;8212596428.13
BEEF3;7.12;7.74;11.84;6.89;0.17;19.88;7.42;1.32;2.11;6.5;4.38;14.28;0.16;0.61;-0.4;1.87;58.14;1.41;9.4;0.02;0.96;1.06;20.68;;76982321.53;1.03;0.6;-0.21;4323857857.84
RAIZ4;3.73;7.15;11.4;1.69;0.35;7.99;4.97;1.52;3.48;6.31;2.84;1.38;0.17;14.56;-0.6;1.06;14.79;3.04;14.92;0.21;0.79;2.0;;;71885876.14;2.21;0.33;0.07;38614860375.32
CCRO3;13.31;1.45;28.79;2.12;0.51;42.94;30.38;5.64;5.34;9.84;4.5;1.79;1.62;20.83;-0.65;1.13;7.37;1.77;9.69;0.24;0.75;0.31;12.68;-12.27;69567482.64;6.28;0.46;-0.37;26886200000.0
CVCB3;3.21;;-3.52;3.87;0.42;100.0;-7.43;-37.97;-17.99;-22.15;-4.16;0.9;1.34;-4.08;-0.93;0.84;-109.8;-11.9;-7.9;0.11;0.89;0.31;0.61;;69275453.81;0.83;-0.91;3.61;1687147421.37
MRFG3;9.74;;-4.2;1.48;0.07;10.02;0.14;-1.59;47.49;215.72;168.23;5.25;0.07;0.94;-0.11;1.22;-35.29;-1.61;-0.53;0.05;0.8;1.02;66.77;;68988591.33;6.58;-2.32;0.03;9077680000.0
MULT3;27.75;3.59;17.42;2.42;1.54;92.65;74.87;48.73;11.34;12.64;1.3;0.28;8.49;104.46;-1.78;1.12;13.87;8.84;14.14;0.64;0.36;0.18;9.22;20.97;68944712.47;11.49;1.59;0.61;16671114281.25
RECV3;23.66;4.18;7.46;1.57;1.0;37.04;31.28;32.08;7.65;7.87;0.22;0.04;2.39;50.64;-1.24;1.12;21.02;13.47;16.17;0.64;0.36;0.42;;;68417400.86;15.1;3.17;0.54;6940380061.16
GOLL4;6.44;;193.83;-0.94;1.2;29.03;15.11;0.58;7.39;4.38;3.41;;1.12;-1.97;-1.51;0.25;-0.48;0.62;-23.52;-1.28;2.28;1.07;8.03;41.44;66812582.56;-6.88;0.03;-1.89;2700291471.92
COGN3;3.04;;-19.08;0.47;0.23;64.83;9.61;-5.26;10.44;21.57;11.13;0.5;1.0;7.36;-0.27;1.21;-2.47;-1.19;2.42;0.48;0.48;0.23;-1.73;;66707559.81;6.44;-0.16;-1.28;5704882878.4
AURE3;13.24;22.66;6.53;0.95;0.42;21.1;24.36;34.01;9.11;10.01;0.9;0.09;2.22;3.56;-0.57;1.92;14.52;6.5;0.61;0.45;0.55;0.19;;;65100410.78;13.96;2.03;0.01;13240000000.0
VAMO3;8.17;4.12;13.97;1.85;0.47;44.4;34.31;10.72;4.37;8.6;4.23;1.79;1.5;3.18;-0.66;2.03;13.24;3.36;13.27;0.25;0.75;0.31;64.03;51.58;65020690.75;4.42;0.58;0.66;9022331728.73
LWSA3;5.51;0.95;-371.37;1.13;0.73;45.45;5.86;-0.71;44.93;30.76;-14.17;-0.35;2.63;5.6;-1.27;1.45;-0.3;-0.2;2.34;0.65;0.35;0.28;31.17;;64578777.67;4.89;-0.01;1.01;3288844493.78
BRAP4;23.05;13.11;4.27;1.13;1.11;;;;4.41;4.02;-0.24;-0.06;;19.73;-1.2;5.31;26.44;26.09;25.51;0.99;0.01;0.0;;-1.84;63812278.5;20.41;5.4;-0.07;8777997569.6
EGIE3;41.23;7.04;9.98;3.99;0.85;53.44;56.36;30.27;5.36;7.71;2.35;1.75;3.02;65.07;-1.02;1.09;39.97;8.56;19.59;0.21;0.76;0.28;11.18;10.97;63799788.11;10.34;4.13;0.12;33640700720.2
YDUQ3;19.79;1.39;32.52;1.89;0.62;59.29;17.03;3.75;7.15;12.02;4.87;1.29;1.22;7.02;-0.85;1.52;5.81;1.92;9.55;0.33;0.67;0.51;6.2;-15.03;63097815.94;10.48;0.61;-0.07;6116868361.29
SLCE3;19.35;6.99;7.46;1.65;0.52;31.62;24.57;11.95;3.63;5.07;1.45;0.66;0.89;2.18;-1.0;1.97;22.13;6.95;18.45;0.31;0.67;0.58;34.0;26.41;62600763.61;11.72;2.59;-0.54;8578430004.6
IGTI11;23.57;1.55;34.58;2.32;1.32;61.96;51.62;24.53;16.43;13.77;3.14;0.44;8.48;16.43;-1.64;1.71;6.7;3.83;8.12;0.57;0.43;0.16;7.95;28.92;60237153.56;10.17;0.68;0.02;6225049837.1
CPLE3;9.11;3.34;13.58;1.17;0.49;21.02;13.52;9.07;9.11;13.24;3.21;0.41;1.23;6.29;-0.64;1.48;8.61;3.59;7.22;0.42;0.58;0.4;9.35;14.12;59250409.36;7.8;0.67;0.11;29899693364.18
SMTO3;28.76;4.32;8.35;1.72;0.54;30.78;37.91;19.59;4.31;7.11;2.79;1.11;1.64;3.31;-0.78;2.17;20.63;6.48;13.31;0.31;0.69;0.33;14.04;19.93;58710115.28;16.7;3.45;-0.83;10181365822.04
CPFE3;36.36;9.21;7.81;2.31;0.57;33.17;28.29;13.44;3.71;5.43;1.72;1.07;1.05;-13.67;-0.74;0.85;29.54;7.28;19.86;0.25;0.74;0.54;8.03;35.39;57168460.31;15.77;4.66;1.26;41895971438.4
SMFT3;24.83;1.42;32.2;3.09;1.1;40.84;32.69;21.35;21.03;22.04;1.01;0.15;6.88;13.2;-1.5;1.47;9.59;3.43;7.57;0.36;0.64;0.16;31.49;;56719089.31;8.04;0.77;-0.12;14556396035.87
PETZ3;3.43;0.31;49.52;0.88;0.4;46.61;4.46;1.02;11.34;11.23;-0.11;-0.01;0.51;2.45;-0.61;1.9;1.78;0.81;5.4;0.45;0.55;0.79;36.54;22.89;54986575.72;3.9;0.07;-1.06;1586455611.86
POMO4;7.87;4.22;9.35;2.21;0.98;21.68;11.16;12.41;10.4;10.97;1.44;0.31;1.16;3.01;-2.48;2.16;23.64;10.46;10.28;0.44;0.55;0.84;13.49;61.66;54924500.81;3.56;0.84;0.05;6826871869.82
MOVI3;9.68;1.25;-78.45;1.16;0.16;32.22;18.17;-0.42;1.83;7.91;6.08;3.85;0.33;4.21;-0.21;1.21;-1.48;-0.21;11.0;0.14;0.86;0.49;31.22;;54725846.25;8.36;-0.12;0.74;3507084192.48
GFSA3;11.2;;-3.57;0.46;0.15;3.46;-23.01;-18.28;-2.84;-9.02;-6.19;1.0;0.65;0.42;-0.48;2.03;-12.88;-4.13;-8.1;0.32;0.68;0.23;7.64;;54156718.47;24.36;-3.14;-0.01;775972736.0
BOAS3;7.95;;15.22;1.83;1.7;56.53;19.25;32.39;25.6;18.69;-6.92;-0.5;4.93;3.34;-3.8;12.37;12.04;11.16;4.65;0.93;0.07;0.34;8.81;74.34;53310276.5;4.34;0.52;5.59;4212250617.75
TAEE11;36.79;6.09;11.08;1.91;0.65;68.87;71.85;44.57;6.87;11.42;4.55;1.26;4.94;4.76;-0.83;2.71;17.2;5.89;10.64;0.34;0.66;0.13;19.43;12.03;53162559.39;19.31;3.32;-0.29;12674114788.53
CMIN3;6.66;10.47;11.86;3.19;1.23;46.73;30.79;17.76;6.84;6.43;-0.41;-0.19;2.11;4.09;-2.26;2.96;26.92;10.4;22.14;0.39;0.61;0.59;19.26;28.57;52329159.0;2.09;0.56;1.1;36532356661.08
SANB11;29.18;7.1;11.7;0.97;0.1;16.51;6.05;9.32;18.03;18.03;;;1.09;;-0.1;;8.25;0.83;;0.1;0.9;0.09;10.04;0.94;51975071.44;30.24;2.49;-0.29;109403568034.09
PCAR3;4.1;;-0.38;0.22;0.05;-79.59;-212.24;-1200.41;-2.13;-6.57;-4.44;0.46;4.52;0.58;-0.08;1.32;-58.63;-12.96;-11.07;0.22;0.78;0.01;-17.25;;50975330.0;18.57;-10.89;0.0;1107570182.9
ELET6;46.13;3.24;33.24;0.94;0.38;49.99;39.25;9.09;7.7;9.79;2.83;0.35;3.02;3.92;-0.49;1.88;2.83;1.16;7.24;0.41;0.59;0.13;2.97;;50538515.89;49.03;1.39;-1.05;96291456837.56
TEND3;10.66;;-30.04;1.94;0.31;20.36;3.26;-6.71;61.85;97.56;35.71;1.12;2.01;6.64;-0.55;1.12;-6.46;-1.05;0.49;0.16;0.84;0.16;-17.27;;49449650.06;5.5;-0.35;0.33;1312184662.36
BHIA3;8.92;;-0.47;0.19;0.03;28.99;-0.55;-5.91;-5.08;-47.07;-41.99;1.58;0.03;-0.18;-0.04;0.74;-40.32;-5.54;-11.42;0.14;0.86;0.94;3.76;;47448652.75;46.63;-18.8;0.0;848142420.52
FLRY3;16.67;2.61;24.43;1.76;0.79;27.02;14.26;6.35;10.88;14.57;3.7;0.6;1.55;9.91;-1.05;1.48;7.21;3.24;7.99;0.45;0.55;0.51;13.37;3.1;44789540.58;9.46;0.68;3.31;9121674403.42
ENAT3;19.57;0.77;75.23;1.34;0.64;36.94;15.75;4.27;20.4;22.9;2.49;0.16;3.21;5.02;-0.9;1.77;1.78;0.85;3.15;0.47;0.53;0.2;34.1;-28.0;43698336.94;14.58;0.26;-0.82;5201841130.85
PSSA3;27.11;5.21;8.07;1.48;0.32;100.0;7.28;6.95;7.7;2.67;-5.03;-0.97;0.56;5.69;-0.95;1.09;18.33;3.97;11.13;0.22;0.78;0.57;10.41;14.57;41522715.44;18.34;3.36;0.08;17528948086.6
DIRR3;22.29;;12.52;2.0;0.54;34.87;20.76;13.7;8.26;8.21;-0.05;-0.01;1.72;1.6;-1.01;3.56;15.96;4.3;12.34;0.27;0.71;0.31;23.53;;40032006.28;11.15;1.78;0.13;3867315000.0
SQIA3;27.37;0.2;-110.33;3.7;1.49;42.19;6.45;-3.26;55.72;60.18;4.46;0.3;3.59;25.87;-1.84;1.43;-3.35;-1.35;3.18;0.4;0.58;0.41;35.51;;39651585.0;7.4;-0.25;0.44;2406971773.64
ALPA4;8.79;;-21.32;1.11;0.76;40.37;-9.97;-7.36;-15.73;-18.56;-2.17;0.15;1.57;2.7;-1.25;3.51;-5.22;-3.56;-8.0;0.68;0.32;0.48;2.36;;38243011.33;7.89;-0.41;0.13;6258749948.13
CXSE3;14.36;7.04;12.21;3.38;3.35;;;;10.99;10.51;-0.48;-0.15;;22.54;-3.97;17.58;27.65;27.4;26.4;0.99;0.01;0.0;;22.12;37677656.53;4.25;1.18;0.32;43080000000.0
GMAT3;6.78;;13.1;1.81;0.99;21.56;6.17;4.52;9.59;11.21;1.62;0.31;0.59;2.46;-2.61;2.9;13.8;7.59;12.73;0.55;0.44;1.68;30.71;48.33;33937316.72;3.75;0.52;0.64;14979366415.62
EZTC3;16.06;1.28;18.86;0.77;0.61;29.18;13.62;17.82;24.68;24.81;0.13;0.0;3.36;1.68;-1.1;5.19;4.09;3.22;2.08;0.79;0.2;0.18;2.72;-12.11;33647455.47;20.81;0.85;-0.39;3549084994.18
STBP3;9.77;4.05;20.98;3.85;1.84;46.64;31.99;20.77;13.63;13.39;-0.24;-0.07;4.36;37.02;-2.27;1.35;18.36;8.77;19.96;0.48;0.52;0.42;18.58;;32900479.78;2.54;0.47;-15.91;8442944505.13
GGPS3;19.1;1.36;21.61;4.35;1.33;17.38;10.75;5.8;11.65;12.11;0.46;0.17;1.25;3.95;-3.07;2.45;20.15;6.15;13.59;0.3;0.69;1.06;;;31970832.22;4.39;0.88;0.72;12838452099.7
ANIM3;4.44;;-19.22;0.7;0.18;57.97;10.96;-2.54;4.46;14.4;9.94;1.57;0.49;10.26;-0.22;1.1;-3.66;-0.94;0.24;0.26;0.7;0.37;27.79;;30679244.5;6.32;-0.23;0.26;1793177494.2
CURY3;18.46;3.15;13.04;5.84;1.71;37.81;19.69;15.56;10.31;9.42;-0.89;-0.5;2.03;4.06;-6.46;2.34;44.76;13.12;26.74;0.29;0.66;0.84;22.62;29.64;29402063.39;3.16;1.42;0.62;5388014124.48
ECOR3;9.04;0.93;11.23;2.28;0.27;37.28;32.78;6.92;2.37;7.24;4.86;4.68;0.78;-6.52;-0.32;0.81;20.34;2.36;10.51;0.12;0.87;0.34;14.6;7.38;28892397.25;3.96;0.8;0.04;6294861384.96
SAPR11;28.19;5.38;5.72;0.9;0.47;60.1;36.99;24.53;3.79;5.75;1.96;0.46;1.4;10.79;-0.55;1.41;15.68;8.13;11.45;0.52;0.48;0.33;7.96;16.77;27690747.56;31.42;4.93;0.18;8520176716.12
ENBR3;24.08;1.12;11.69;1.29;0.38;30.72;20.25;6.59;3.81;6.4;2.6;0.88;0.77;-9.12;-0.57;0.89;11.05;3.27;12.29;0.3;0.67;0.5;6.98;14.37;27666157.79;18.65;2.06;-0.25;13994459653.44
CSMG3;22.21;13.03;6.53;1.07;0.6;40.21;23.61;18.47;5.11;7.14;2.03;0.42;1.21;8.44;-0.75;1.58;16.38;9.22;10.82;0.56;0.44;0.5;7.38;18.19;27373323.22;20.75;3.4;0.06;8445420662.49
SIMH3;7.83;0.25;126.41;1.88;0.1;28.13;18.02;0.17;1.19;7.17;5.98;9.48;0.21;0.78;-0.15;1.75;1.48;0.08;10.67;0.06;0.89;0.49;27.43;;26667108.75;4.17;0.06;-1.4;6564733927.47
MDIA3;38.34;1.64;23.11;1.78;1.09;30.23;7.02;5.19;17.09;17.5;0.42;0.04;1.2;4.47;-1.98;2.19;7.71;4.72;7.51;0.61;0.39;0.91;13.34;-7.8;24997736.06;21.52;1.66;-2.6;12997260000.0
INTB3;21.63;0.96;13.6;2.87;1.5;31.46;11.78;12.53;14.47;13.92;-0.54;-0.11;1.7;3.3;-5.5;2.68;21.1;11.04;13.25;0.52;0.47;0.88;23.09;23.17;24226485.53;7.53;1.59;0.56;7086228309.3
AESB3;11.35;;43.3;1.53;0.34;35.54;28.78;4.9;7.37;17.33;9.96;2.06;2.12;20.92;-0.41;1.11;3.53;0.8;5.04;0.23;0.72;0.16;;;24139334.78;7.43;0.26;-0.64;6831874979.85
ONCO3;11.85;;28.5;2.82;0.73;35.93;14.63;4.16;8.1;12.01;3.91;1.36;1.19;7.17;-1.06;1.48;9.9;2.55;11.13;0.26;0.69;0.61;;;23965918.78;4.2;0.42;-0.01;6250656936.3
DXCO3;7.75;2.78;7.83;0.99;0.38;33.51;18.39;10.95;4.66;7.93;3.27;0.7;0.86;5.28;-0.54;1.34;12.66;4.91;10.71;0.39;0.61;0.45;16.29;34.44;23806495.08;7.81;0.99;-0.28;6359388406.5
SBFG3;13.22;1.03;17.64;1.31;0.39;47.85;7.45;2.67;6.32;12.14;5.81;1.2;0.47;1.82;-0.81;1.71;7.42;2.22;8.13;0.3;0.7;0.83;26.04;-5.21;22890578.03;10.1;0.75;-0.37;3221568315.6
RAPT4;11.6;5.02;9.19;1.3;0.3;25.06;11.93;3.72;2.87;4.99;2.14;0.97;0.34;0.98;-0.72;2.1;14.12;3.26;11.63;0.23;0.68;0.88;30.59;54.84;22495370.06;8.94;1.26;-0.41;3795765922.13
NEOE3;20.8;4.34;4.86;0.86;0.26;26.13;21.96;11.89;2.63;6.59;3.96;1.29;0.58;20.71;-0.34;1.06;17.61;5.33;12.45;0.3;0.7;0.45;15.85;66.47;21603867.92;24.28;4.28;0.21;25246982758.4
LEVE3;34.81;27.9;6.58;3.01;1.5;28.88;18.76;16.16;5.67;5.64;-0.02;-0.01;1.06;4.86;-4.24;1.91;45.73;22.77;30.99;0.5;0.5;1.41;13.28;24.76;21212896.28;11.57;5.29;0.26;4718112590.0
CEAB3;7.52;;49.85;0.82;0.26;51.91;6.1;0.73;5.96;7.51;1.55;0.21;0.36;1.49;-0.51;1.59;1.64;0.53;8.09;0.32;0.68;0.73;4.19;-13.65;20553496.72;9.22;0.15;-0.28;2318002911.36
CBAV3;4.06;8.52;-2.1;0.55;0.2;-12.43;-12.73;-11.59;-1.91;-4.19;-2.28;0.66;0.24;0.97;-0.31;2.26;-26.28;-9.32;-18.02;0.35;0.63;0.8;;;19002367.39;7.35;-1.93;0.01;2643355149.82
ALUP11;29.44;6.11;12.05;1.19;0.32;75.83;71.87;23.53;3.94;7.86;3.91;1.18;2.83;3.53;-0.39;1.89;9.87;2.63;9.39;0.27;0.62;0.11;20.04;17.61;18572379.97;24.75;2.44;-0.57;8972092241.92
AMER3;0.8;;-0.06;-0.03;0.02;19.46;-30.26;-50.03;-0.09;-2.23;-2.14;;0.03;-0.02;-0.05;0.34;-48.42;-41.26;202.73;-0.85;1.85;0.82;32.64;;18209583.89;-29.55;-14.31;0.0;722023602.4
MODL3;3.08;0.71;-29.78;1.82;0.29;50.83;-5.11;-5.48;-31.96;-29.26;;;1.63;;-0.32;;-6.1;-0.97;;0.16;0.84;0.18;;;18194928.05;1.7;-0.1;0.19;1985844000.0
LJQQ3;5.06;;-25.67;1.88;0.31;34.11;2.77;-1.56;14.49;14.23;-0.26;-0.03;0.4;1.01;-0.93;1.86;-7.33;-1.21;5.03;0.17;0.83;0.77;18.92;;18187023.28;2.69;-0.2;0.02;947688761.14
TTEN3;11.07;1.04;8.81;1.74;0.83;14.89;6.79;7.71;10.0;10.21;0.21;0.04;0.68;3.76;-2.34;1.52;19.74;9.46;9.54;0.48;0.52;1.23;;;17645120.11;6.37;1.26;0.4;5516154952.29
QUAL3;2.59;3.06;-18.36;0.55;0.16;77.16;5.27;-2.24;7.8;21.58;13.78;0.98;0.41;3.31;-0.24;1.16;-3.02;-0.86;1.02;0.28;0.71;0.38;-1.22;;17618490.86;4.67;-0.14;0.16;735597101.75
HBSA3;3.76;;53.84;1.8;0.45;38.61;23.12;2.64;6.16;13.83;7.67;2.25;1.42;3.47;-0.57;2.44;3.35;0.83;6.62;0.25;0.75;0.31;17.46;35.34;17572037.0;2.09;0.07;-0.23;2859038737.68
VVEO3;11.42;;22.78;1.18;0.37;15.9;6.01;1.5;5.67;8.17;2.5;0.52;0.34;1.22;-0.92;2.04;5.17;1.62;9.84;0.31;0.69;1.08;;;17141191.86;9.69;0.5;-0.54;3686611343.36
BRSR6;14.26;6.43;6.22;0.6;0.05;33.16;7.22;6.38;5.5;5.49;;;0.4;1.03;-0.05;4.22;9.69;0.76;;0.08;0.92;0.12;6.91;-3.06;16845053.06;23.66;2.29;0.42;5829925393.61
ODPV3;11.73;2.18;13.18;4.42;3.12;40.91;28.94;23.34;10.63;10.06;-0.57;-0.24;3.08;-160.67;-3.99;0.92;33.5;23.65;27.76;0.71;0.29;1.01;5.77;-0.45;16250860.08;2.66;0.89;0.47;6480774126.99
BPAN4;8.0;2.69;16.31;1.38;0.19;49.84;4.88;4.32;14.43;14.43;;;0.7;;-0.19;;8.47;1.16;;0.14;0.86;0.27;8.24;41.4;16020997.19;5.79;0.49;-1.94;10152560720.0
ORVR3;35.4;;-23.57;4.76;1.31;30.63;17.55;-16.46;22.11;29.21;7.11;1.53;3.88;8.82;-1.8;2.22;-20.17;-5.56;5.58;0.28;0.7;0.34;22.01;;15847349.78;7.44;-1.5;-0.45;2936461470.6
TUPY3;26.08;3.85;9.23;1.15;0.38;17.23;6.88;3.59;4.82;7.7;2.88;0.69;0.33;1.17;-0.97;2.1;12.47;4.08;9.94;0.33;0.67;1.13;22.39;21.58;15834149.69;22.67;2.83;-0.44;3760149200.0
AMBP3;14.46;0.93;-19.03;2.44;0.23;23.51;18.46;-2.69;2.77;7.96;5.19;4.56;0.51;0.96;-0.4;2.3;-12.82;-1.21;8.16;0.09;0.84;0.45;83.52;;15614252.89;5.92;-0.76;0.08;2415425425.74
IFCM3;1.63;;-4.06;0.76;0.32;43.4;-3.27;-24.04;-29.79;-45.72;-15.93;0.41;0.97;-39.93;-0.44;0.97;-18.75;-7.99;-1.72;0.43;0.57;0.33;;;15537528.69;2.14;-0.4;-0.23;1038856886.19
KEPL3;9.92;8.66;6.75;2.62;1.29;32.03;22.32;17.47;5.28;4.96;-0.33;-0.16;1.18;4.74;-3.93;1.68;38.76;19.12;28.93;0.49;0.51;1.09;25.71;;15052823.64;3.79;1.47;-0.27;1782823689.6
MYPK3;11.93;2.53;-17.82;0.48;0.12;9.29;4.96;-0.66;2.36;7.28;4.92;0.99;0.12;0.62;-0.26;1.58;-2.68;-0.68;5.55;0.25;0.72;1.04;17.75;;14821338.78;24.94;-0.67;0.15;1833874839.93
ITUB3;27.7;4.54;8.53;1.48;0.11;30.03;9.92;8.3;7.14;7.73;;;0.71;;-0.11;;17.34;1.27;;0.07;0.92;0.15;13.63;6.54;14546464.67;18.73;3.25;0.73;294010811438.67
ABCB4;23.05;6.84;5.63;0.95;0.1;25.5;17.06;15.5;5.12;5.12;;;0.87;-2.66;-0.1;0.05;16.95;1.73;;0.1;0.91;0.11;18.7;17.8;14324173.0;24.15;4.09;-0.31;5461377012.8
JHSF3;4.87;8.28;8.36;0.66;0.31;53.4;47.37;26.29;4.64;8.23;3.59;0.51;2.2;1.67;-0.43;2.85;7.85;3.68;6.98;0.47;0.5;0.14;39.82;;13996539.39;7.42;0.58;-0.16;3308329994.67
CASH3;7.97;;-17.75;0.88;0.57;-22.15;-22.16;-11.35;-9.1;-3.59;5.51;-0.54;2.02;1.17;-2.71;2.65;-4.98;-3.24;-10.47;0.65;0.34;0.29;70.01;;13977594.28;9.02;-0.45;0.44;690044313.55
CMIG3;15.09;6.56;4.97;1.36;0.59;24.73;21.11;18.52;4.36;4.74;1.04;0.32;0.92;10.37;-0.79;1.3;27.35;11.9;17.7;0.43;0.56;0.64;9.68;46.18;13588987.75;11.1;3.04;17.02;28191939572.4
RCSL3;2.73;;-25.05;2995.68;5.67;12.72;8.87;-22.44;63.37;32.65;-0.01;-0.42;5.62;41.74;-11.12;1.38;-11956.9;-22.62;4853.1;0.0;1.0;1.01;362.53;;12975887.53;0.0;-0.11;-0.07;179078445.19
PLPL3;12.33;1.3;10.35;4.22;1.27;33.71;15.29;13.02;8.81;9.23;0.42;0.2;1.35;2.24;-8.87;2.96;40.72;12.27;22.01;0.3;0.68;0.94;;;12879145.42;2.92;1.19;0.08;2518476480.0
UNIP6;71.33;4.88;9.55;2.64;1.2;35.74;20.79;13.63;6.26;5.92;-0.22;-0.09;1.3;5.82;-2.09;1.92;27.61;12.51;15.5;0.45;0.54;0.92;19.21;20.7;12771735.06;27.04;7.47;-0.16;7272239210.88
CPLE11;50.12;3.28;14.94;1.29;0.54;21.02;13.52;9.07;10.03;13.24;3.21;0.41;1.36;6.92;-0.71;1.48;8.61;3.59;7.22;0.42;0.58;0.4;9.35;14.12;12762004.6;38.98;3.35;0.12;29899693364.18
VULC3;21.36;3.67;9.31;2.65;1.88;40.55;19.67;20.41;9.65;9.67;0.02;0.01;1.9;3.46;-6.27;4.39;28.43;20.16;21.21;0.71;0.29;0.99;14.97;24.47;12527912.92;8.07;2.3;0.14;5252770971.84
ZAMP3;5.3;;-12.67;1.1;0.37;65.31;2.49;-3.02;15.34;23.32;7.98;0.57;0.38;54.86;-0.46;1.03;-8.65;-2.89;2.75;0.33;0.67;0.96;15.36;;11543500.0;4.84;-0.42;-0.23;1459383869.1
SAPR4;5.69;5.43;5.77;0.91;0.47;60.1;36.99;24.53;3.83;5.75;1.96;0.46;1.42;10.89;-0.55;1.41;15.68;8.13;11.45;0.52;0.48;0.33;7.96;16.77;11166387.0;6.28;0.99;0.18;8520176716.12
SEQL3;0.53;;-0.38;1.47;0.11;5.07;-29.02;-45.21;-0.6;-3.73;-3.13;7.68;0.17;-0.78;-0.15;0.64;-382.42;-28.65;-31.37;0.07;0.93;0.63;;;10984888.28;0.36;-1.38;0.0;186486455.08
VLID3;22.34;2.91;9.03;1.35;0.68;38.84;19.36;10.32;4.81;5.55;0.74;0.21;0.93;2.71;-1.37;2.0;14.9;7.56;14.76;0.51;0.48;0.73;3.6;48.87;10719645.89;16.6;2.47;0.02;1828224617.5
KLBN4;4.39;6.17;8.56;2.21;0.48;39.1;24.14;15.48;5.49;10.1;4.65;1.87;1.33;3.38;-0.65;2.16;25.81;5.57;8.05;0.22;0.74;0.36;19.06;40.17;10680117.31;1.99;0.51;-0.22;24471540845.14
