TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
TCNO4;0.85;;-5.33;-5.95;0.02;;;;-4.82;-34.51;-28.98;;;-0.06;-0.03;0.28;-111.63;-0.45;-3.55;0.0;1.0;0.0;;;;-0.14;-0.16;-0.2;6451072.5
TEKA3;8.23;;-0.03;0.0;0.0;19.2;-34.33;-52.84;-0.04;-5.62;-5.52;;0.01;0.0;0.0;0.04;-7.43;-13.24;6.67;-1.78;2.78;0.25;15.05;;;-4039.83;-299.99;0.0;10668088.45
TESA3;48.0;;-13.3;1.62;0.52;15.86;9.39;-7.58;10.73;17.39;6.66;1.01;1.01;-11.1;-0.74;0.86;-12.18;-3.94;3.93;0.32;0.68;0.52;7.32;;;29.64;-3.61;0.83;1389696672.0
TIET11;12.54;;4.38;2.25;0.46;74.66;61.76;49.46;3.51;7.15;3.64;2.34;2.16;1031.49;-0.52;1.0;51.45;10.47;13.16;0.2;0.72;0.21;-5.19;23.78;;5.57;2.87;0.02;5004795800.93
TIET3;3.49;;6.09;3.13;0.64;74.66;61.76;49.46;4.88;7.15;3.64;2.34;3.01;1435.37;-0.72;1.0;51.45;10.47;13.16;0.2;0.72;0.21;-5.19;23.78;;1.11;0.57;0.03;5004795800.93
TIET4;3.51;;6.13;3.15;0.64;74.66;61.76;49.46;4.91;7.15;3.64;2.34;3.03;1443.59;-0.72;1.0;51.45;10.47;13.16;0.2;0.72;0.21;-5.19;23.78;;1.11;0.57;0.03;5004795800.93
TKNO3;69.63;;7.65;0.73;0.58;21.8;14.53;10.3;5.43;4.23;-1.21;-0.16;0.79;1.53;-1.28;3.23;9.55;7.56;11.32;0.79;0.21;0.73;19.94;;;95.24;9.1;-0.16;205609794.64
TOYB3;2.29;;-43.94;-4.97;4.03;24.06;-10.7;-10.96;-45.0;-47.62;-0.63;;4.81;-5.93;-11.89;0.49;-11.31;-9.18;11.93;-0.81;1.81;0.84;-33.11;;;-0.46;-0.05;0.47;71890222.22
TOYB4;2.5;;-47.96;-5.43;4.4;24.06;-10.7;-10.96;-49.12;-47.62;-0.63;;5.26;-6.47;-12.98;0.49;-11.31;-9.18;11.93;-0.81;1.81;0.84;-33.11;;;-0.46;-0.05;0.52;71890222.22
TRPN3;0.71;;0.44;0.54;0.4;100.0;71.7;59.29;0.37;-0.36;-0.72;-1.07;0.26;0.59;-6.13;3.61;122.35;90.0;90.82;0.74;0.26;1.52;-0.48;-0.38;;1.31;1.6;0.0;32162716.0
VIVT4;45.34;;15.38;1.08;0.62;42.85;14.76;9.61;10.02;12.98;1.76;0.19;1.48;-45.62;-0.74;0.92;7.03;4.06;7.74;0.58;0.42;0.42;2.14;1.12;;41.92;2.95;-1.41;83868859270.0
VSPT3;4.99;;-0.32;0.37;0.11;7.78;-44.27;-67.63;-0.49;-1.03;-0.54;0.41;0.22;-2.01;-0.13;0.75;-116.54;-33.96;-62.87;0.29;0.71;0.5;7.49;;;13.44;-15.66;0.0;712610842.16
VSPT4;0.0;;0.0;0.0;0.0;7.78;-44.27;-67.63;0.0;-1.03;-0.54;0.41;0.0;0.0;0.0;0.75;-116.54;-33.96;-62.87;0.29;0.71;0.5;7.49;;;13.44;-15.66;0.0;712610842.16
VVAR11;14.58;;-0.78;0.31;0.04;28.99;-0.55;-5.91;-8.3;-47.07;-41.99;1.58;0.05;-0.29;-0.07;0.74;-40.32;-5.54;-11.42;0.14;0.86;0.94;3.76;;;46.63;-18.8;0.0;848142420.52
VVAR4;95.68;;-5.09;2.05;0.28;28.99;-0.55;-5.91;-54.48;-47.07;-41.99;1.58;0.3;-1.92;-0.48;0.74;-40.32;-5.54;-11.42;0.14;0.86;0.94;3.76;;;46.63;-18.8;0.0;848142420.52
