Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
EQTL3;ON NM;EQUATORIAL ENERGIA S.A. ON NM;Energia Elétrica;Energia Elétrica;33.99;24.19;35.83;256776000.0;1147110000.0;38990200000.0;74877600000.0;20.95;1.62;1.99;17.06;4.72;30.1%;1.04;21.9%;0.39;7.1%;10.28;8.4%;-0.75;1.0%;9.7%;9.5%;7.51;1.19;9.06;2.31;23.0%;0.38;98775400000.0;45185100000.0;9297740000.0;35887400000.0;23859900000.0;19573900000.0;37656500000.0;8264940000.0;1861310000.0;10361500000.0;2501650000.0;720023000.0;;;;;;
ELET3;ON;ELETROBRÁS ON;Energia Elétrica;Energia Elétrica;42.85;30.33;43.64;250840000.0;2307100000.0;98859200000.0;138019000000.0;30.88;1.39;0.87;49.03;9.42;50.0%;2.81;29.8%;0.36;8.6%;3.64;3.8%;-0.94;0.5%;4.3%;2.8%;9.79;1.88;13.15;0.63;19.4%;0.13;276807000000.0;71110700000.0;31951000000.0;39159700000.0;58035100000.0;113118000000.0;35240600000.0;10493300000.0;3201770000.0;8781430000.0;2445310000.0;1483900000.0;;;;;;
ABEV3;ON;AMBEV S/A ON;Bebidas;Cervejas e Refrigerantes;12.81;11.77;14.89;247266000.0;15753800000.0;201807000000.0;187883000000.0;13.38;0.96;2.24;5.73;11.87;50.3%;2.45;20.6%;1.46;18.8%;54.44;12.3%;-22.93;5.7%;16.5%;16.7%;8.13;1.11;11.05;0.04;13.2%;0.6;137914000000.0;3717670000.0;17641100000.0;-13923400000.0;37552700000.0;90254900000.0;82440700000.0;17003900000.0;15081200000.0;20317800000.0;4438050000.0;3911740000.0;;;;;;
RAIL3;ON NM;RUMO S.A. ON NM;Transporte;Transporte Ferroviário;23.24;17.37;24.09;241672000.0;1854870000.0;43107200000.0;55213100000.0;44.8;0.52;2.7;8.59;13.02;36.8%;4.09;31.4%;0.87;9.1%;7.57;6.7%;-1.98;0.3%;7.9%;6.0%;10.23;1.99;16.68;1.2;11.3%;0.21;49319500000.0;19076300000.0;6970320000.0;12106000000.0;11464200000.0;15936700000.0;10541900000.0;3309820000.0;962302000.0;3175070000.0;1265270000.0;480678000.0;;;;;;
LREN3;ON;RENNER ON;Comércio;Tecidos, Vestuário e Calçados;14.59;11.84;22.2;230650000.0;963227000.0;14053500000.0;12940500000.0;15.09;0.97;1.44;10.14;5.05;60.2%;1.05;20.8%;0.7;7.0%;2.93;14.0%;9.32;4.9%;18.4%;9.5%;3.35;1.7;4.65;0.22;13.7%;0.67;19959800000.0;2160820000.0;3273810000.0;-1112990000.0;11701900000.0;9765090000.0;13390600000.0;2784420000.0;931191000.0;3097100000.0;553390000.0;172902000.0;;;;;;
SBSP3;ON NM;SABESP ON NM;Água e Saneamento;Água e Saneamento;81.88;44.12;81.88;204909000.0;683510000.0;55965800000.0;71993400000.0;18.78;4.36;1.89;43.3;10.88;35.0%;2.31;21.2%;0.95;12.3%;-4469.4;8.7%;-2.51;1.6%;9.3%;10.1%;9.19;1.0;14.0;0.64;7.9%;0.41;59054600000.0;19002900000.0;2975270000.0;16027600000.0;7120730000.0;29593900000.0;24238300000.0;5141720000.0;2979460000.0;6453250000.0;1695910000.0;846295000.0;;;;;;
MRVE3;ON NM;MRV ON NM;Construção Civil;Incorporações;7.32;5.53;14.14;195561000.0;562827000.0;4119890000.0;11076900000.0;-17.38;-0.42;0.6;12.19;20.85;21.9%;0.58;2.8%;0.17;-2.9%;0.77;0.8%;-0.71;0.0%;0.9%;-3.5%;30.83;1.99;56.06;1.12;3.9%;0.3;24086800000.0;7697060000.0;740097000.0;6956960000.0;10713300000.0;6862600000.0;7162840000.0;197595000.0;-237040000.0;1973610000.0;112524000.0;-136527000.0;;;;;;
AZUL4;PN;AZUL PN;Transporte;Transporte Aéreo;11.97;6.79;21.86;193477000.0;348134000.0;4167160000.0;29342900000.0;-3.41;-3.51;-0.2;-61.14;1.64;21.1%;0.23;14.0%;0.21;-6.7%;-0.51;12.9%;-0.12;0.0%;15.6%;5.7%;5.95;0.42;11.56;-1.25;19.7%;0.92;19605100000.0;26575100000.0;1399390000.0;25175700000.0;5931440000.0;-21286100000.0;18102400000.0;2537640000.0;-1221580000.0;4916440000.0;725442000.0;-1614900000.0;;;;;;
ITSA4;PN N1;ITAÚSA PN N1;Intermediários Financeiros;Bancos;10.54;7.01;10.55;186812000.0;10328100000.0;108859000000.0;111683000000.0;7.88;1.34;1.37;7.72;119.89;33.6%;14.68;12.2%;1.06;193.3%;21.85;0.9%;-17.24;5.2%;1.0%;17.3%;57.57;1.65;123.0;0.14;14.4%;0.07;102815000000.0;11032000000.0;8208000000.0;2824000000.0;12675000000.0;79738000000.0;7415000000.0;908000000.0;13806000000.0;1769000000.0;136000000.0;4091000000.0;;;;;;
GGBR4;PN N1;GERDAU S.A. PN N1;Siderurgia e Metalurgia;Siderurgia;21.26;20.56;28.2;185128000.0;1757070000.0;37355200000.0;42830700000.0;4.59;4.63;0.74;28.8;3.6;17.5%;0.52;14.4%;0.49;11.3%;1.83;13.6%;7.09;7.5%;16.0%;16.1%;3.19;2.93;4.13;0.23;21.0%;0.94;76410400000.0;11478100000.0;6002670000.0;5475410000.0;30891800000.0;50600900000.0;72165000000.0;10366500000.0;8131230000.0;17063300000.0;2253810000.0;1581790000.0;;;;;;
