Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
USIM5;PNA N1;USIMINAS PNA N1;Siderurgia e Metalurgia;Siderurgia;10.16;5.87;10.16;112018000.0;1253080000.0;12731300000.0;12637600000.0;9.15;1.11;0.53;19.04;19.48;6.5%;0.46;2.4%;0.32;5.9%;1.03;1.6%;2.95;3.2%;2.1%;5.8%;7.37;3.25;19.33;0.25;21.3%;0.69;40161800000.0;5916110000.0;6009830000.0;-93722600.0;17931600000.0;23855600000.0;27638300000.0;653614000.0;1390930000.0;6781490000.0;-160321000.0;874551000.0;;;;;;
TOTS3;ON NM;TOTVS ON NM;Programas e Serviços;Programas e Serviços;30.87;24.98;34.6;106333000.0;617183000.0;19052400000.0;17667300000.0;25.93;1.19;4.04;7.65;11.85;69.7%;4.24;35.8%;2.16;17.0%;7.45;18.2%;211.44;1.4%;29.0%;15.6%;9.34;2.9;10.99;0.37;19.0%;0.51;8828860000.0;1744070000.0;3129160000.0;-1385100000.0;3906300000.0;4720570000.0;4497030000.0;1608280000.0;734820000.0;1191570000.0;395077000.0;117560000.0;;;;;;
ALOS3;ON;ALLOS ON;Exploração de Imóveis;Exploração de Imóveis;23.66;15.46;26.84;105681000.0;573937000.0;13579400000.0;11942800000.0;4.33;5.46;0.92;25.62;13.24;68.7%;6.07;45.8%;0.49;144.7%;13.24;3.7%;-1.45;2.2%;3.9%;21.3%;7.45;1.58;11.64;;37.3%;0.08;27981200000.0;0.0;1636600000.0;-1636600000.0;2787630000.0;14703000000.0;2237080000.0;1025590000.0;3134650000.0;653037000.0;311072000.0;23682000.0;;;;;;
BRFS3;ON NM;BRF Foods ON NM;Alimentos Processados;Carnes e Derivados;14.15;5.55;15.18;97900800.0;1682470000.0;23807000000.0;34725500000.0;-6.45;-2.19;1.69;8.39;1007.55;15.0%;0.44;0.0%;0.4;-6.6%;3.75;0.0%;-1.51;0.0%;0.1%;-26.1%;10.93;1.29;1469.64;1.58;17.1%;0.91;59253900000.0;22328800000.0;11410400000.0;10918500000.0;28535400000.0;14121800000.0;53957800000.0;23628600.0;-3692170000.0;13806200000.0;434140000.0;-387014000.0;;;;;;
VIVT3;ON;TELEF BRASIL ON;Telecomunicações;Telecomunicações;52.86;36.65;54.49;96846600.0;1652590000.0;87355800000.0;100554000000.0;19.18;2.76;1.26;41.92;12.38;43.5%;1.71;13.8%;0.73;8.9%;-53.19;5.9%;-2.79;3.9%;6.6%;6.6%;4.98;0.92;14.25;0.26;3.9%;0.43;119991000000.0;17754400000.0;4556630000.0;13197800000.0;19401300000.0;69269900000.0;51224700000.0;7058110000.0;4555080000.0;13111800000.0;1847530000.0;1471540000.0;;;;;;
TIMS3;ON NM;TIM ON NM;Telecomunicações;Telecomunicações;17.48;11.36;18.43;96347000.0;2420800000.0;42315700000.0;41050200000.0;14.91;1.17;1.63;10.75;8.75;51.8%;1.78;20.3%;0.77;11.9%;-28.62;8.8%;-2.37;5.2%;10.6%;10.9%;3.43;0.89;8.49;0.14;8.9%;0.43;55260200000.0;3770950000.0;5036420000.0;-1265480000.0;11404300000.0;26015900000.0;23833900000.0;4835380000.0;2837420000.0;6275160000.0;1457420000.0;1082510000.0;;;;;;
RDOR3;ON NM;REDE D OR ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;25.32;19.75;36.52;95890600.0;2289290000.0;57964900000.0;60007300000.0;34.51;0.73;2.55;9.95;11.53;17.3%;1.43;12.4%;0.6;4.4%;2.06;5.2%;-2.14;1.5%;8.0%;7.4%;8.78;2.7;11.93;1.48;41.8%;0.42;95912300000.0;33678600000.0;31636200000.0;2042410000.0;44719300000.0;22773400000.0;40558000000.0;5028250000.0;1679500000.0;11812300000.0;1523590000.0;753845000.0;;;;;;
CRFB3;ON NM;CARREFOUR BR ON NM;Comércio e Distribuição;Alimentos;10.84;8.5;14.45;87852800.0;2108290000.0;22853900000.0;31681900000.0;-28.75;-0.38;1.19;9.12;6.15;18.8%;0.21;3.4%;0.25;-0.6%;-8.2;4.0%;-0.84;1.4%;6.2%;-4.1%;5.6;0.94;8.53;1.1;17.1%;1.18;92766000000.0;21129000000.0;12301000000.0;8828000000.0;44643000000.0;19218000000.0;109859000000.0;3716000000.0;-795000000.0;29614000000.0;1051000000.0;-565000000.0;;;;;;
HYPE3;ON;HYPERA ON;Comércio e Distribuição;Medicamentos e Outros Produtos;32.53;29.6;45.62;87049800.0;633421000.0;20605200000.0;28226100000.0;11.65;2.79;1.81;17.98;7.8;63.1%;2.52;32.2%;0.85;21.6%;5.4;10.9%;-4.32;4.1%;12.1%;15.5%;9.87;1.89;10.69;0.86;27.4%;0.34;24270100000.0;9839350000.0;2218400000.0;7620950000.0;8101970000.0;11388400000.0;8189130000.0;2640120000.0;1768780000.0;2138460000.0;700374000.0;499428000.0;;;;;;
MULT3;ON N2;Multiplan ON N2;Exploração de Imóveis;Exploração de Imóveis;25.82;22.69;29.04;85589000.0;600761000.0;15511600000.0;17502600000.0;15.2;1.7;2.24;11.54;10.84;85.5%;7.64;70.5%;1.34;50.3%;26.59;12.4%;-5.93;3.9%;14.1%;14.7%;11.08;1.42;12.23;0.46;14.9%;0.18;11536900000.0;3166300000.0;1175380000.0;1990920000.0;1985610000.0;6933920000.0;2029570000.0;1431220000.0;1020390000.0;570556000.0;433732000.0;302580000.0;;;;;;
COGN3;ON;COGNA ON;Diversos;Serviços Educacionais;2.48;1.76;3.52;82131900.0;1876610000.0;4653980000.0;10731400000.0;-15.56;-0.16;0.39;6.44;3.62;64.8%;0.82;22.6%;0.18;-5.5%;6.01;5.1%;-0.6;0.0%;5.6%;-2.5%;5.49;1.21;8.35;0.61;-6.4%;0.23;25222300000.0;7373550000.0;1296110000.0;6077440000.0;4390950000.0;12083300000.0;5682550000.0;1285540000.0;-299049000.0;1270040000.0;91723000.0;-102585000.0;;;;;;
ENEV3;ON;ENEVA ON;Energia Elétrica;Energia Elétrica;12.34;10.16;13.65;79998800.0;1584450000.0;19552100000.0;35618200000.0;58.93;0.21;1.51;8.17;8.7;36.0%;2.02;23.2%;0.4;3.6%;11.11;4.6%;-0.87;0.0%;5.6%;2.6%;9.31;1.18;15.86;1.83;35.9%;0.2;48962500000.0;23712000000.0;7645860000.0;16066100000.0;11306900000.0;12943500000.0;9679980000.0;2246080000.0;331787000.0;2380490000.0;483342000.0;-86895000.0;;;;;;
GOAU4;PN N1;METALÚRGICA GERDAU PN N1;Siderurgia e Metalurgia;Siderurgia;9.98;9.26;12.42;79537300.0;1032710000.0;10306400000.0;14804600000.0;3.76;2.66;0.57;17.38;1.0;17.5%;0.14;14.3%;0.13;11.3%;0.48;13.4%;1.64;15.9%;16.0%;15.3%;1.1;3.02;1.43;0.64;21.0%;0.93;77423600000.0;11478100000.0;6979870000.0;4498200000.0;31899900000.0;17948100000.0;72165000000.0;10350900000.0;2744540000.0;17063300000.0;2250270000.0;550676000.0;;;;;;
VIVA3;ON NM;VIVARA S.A. ON NM;Tecidos, Vestuário e Calçados;Acessórios;32.68;19.65;35.61;76947800.0;236198000.0;7718950000.0;7786500000.0;20.16;1.62;4.11;7.95;18.44;69.6%;3.76;20.4%;2.55;18.6%;6.67;13.9%;13.14;1.1%;15.6%;20.4%;14.23;3.01;18.6;0.15;29.3%;0.68;3022750000.0;274382000.0;206834000.0;67547500.0;1733660000.0;1876600000.0;2052890000.0;418705000.0;382848000.0;457311000.0;68754300.0;76538800.0;;;;;;
CCRO3;ON NM;COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM;Transporte;Exploração de Rodovias;13.19;10.59;14.53;75192000.0;2020000000.0;26643800000.0;50121400000.0;15.63;0.84;2.14;6.17;4.41;42.9%;1.41;31.9%;0.49;9.8%;10.6;11.1%;-0.87;1.5%;13.1%;13.7%;6.58;1.3;8.29;2.46;20.0%;0.35;54643100000.0;30654300000.0;7176640000.0;23477600000.0;10995000000.0;12462200000.0;18932700000.0;6044410000.0;1704840000.0;6214570000.0;1787590000.0;553765000.0;;;;;;
GFSA3;ON;GAFISA ON;Construção Civil;Incorporações;6.26;3.55;15.6;74252500.0;69283000.0;433712000.0;2126570000.0;-2.0;-3.14;0.26;24.36;-3.64;3.5%;0.36;-10.0%;0.08;-18.3%;0.23;-2.3%;5.62;0.0%;-2.4%;-12.9%;-24.19;2.03;-17.84;1.16;31.3%;0.23;5268070000.0;1962690000.0;269831000.0;1692860000.0;3656210000.0;1687910000.0;1188920000.0;-119176000.0;-217359000.0;286410000.0;-53015000.0;-88690000.0;;;;;;
GOLL4;PN;GOL LINHAS AEREAS INTELIGENTES SA PN;Transporte;Transporte Aéreo;2.91;2.33;13.19;74177000.0;419300000.0;1220160000.0;10734600000.0;11.47;0.25;-0.06;-52.54;0.58;29.0%;0.07;11.4%;0.07;0.6%;-0.12;12.3%;-0.03;0.0%;14.9%;-0.5%;2.82;0.25;5.09;-0.47;12.1%;1.07;17191400000.0;10419400000.0;904929000.0;9514450000.0;3539100000.0;-22029000000.0;18458200000.0;2106980000.0;106357000.0;4665450000.0;721265000.0;-1300370000.0;;;;;;
BEEF3;ON NM;Minerva ON NM;Alimentos Processados;Carnes e Derivados;6.54;6.35;11.21;69780200.0;607283000.0;3971630000.0;12936100000.0;10.88;0.6;6.32;1.03;1.98;19.9%;0.14;7.3%;0.15;1.3%;0.56;7.7%;-0.41;8.4%;15.9%;58.1%;5.13;1.87;6.46;30.93;16.4%;1.06;25906800000.0;19421700000.0;10457300000.0;8964440000.0;15167900000.0;627948000.0;27564800000.0;2003970000.0;365074000.0;7067640000.0;553007000.0;155496000.0;;;;;;
BRAP4;PN N1;BRADESPAR S/A PN N1;Mineração;Minerais Metálicos;22.15;19.42;25.83;69374500.0;393097000.0;8707100000.0;8204030000.0;4.1;5.4;1.09;20.41;-426.3;;;;1.07;0.0%;18.96;-0.3%;18.98;13.6%;-0.3%;26.4%;-401.67;5.31;-401.67;;;;8130680000.0;0.0;503064000.0;-503064000.0;565717000.0;8023720000.0;0.0;-20425000.0;2121610000.0;0.0;-5045000.0;429427000.0;;;;;;
KLBN11;UNT N2;KLABIN UNT N2;Madeira e Papel;Papel e Celulose;21.53;16.9;23.57;69323000.0;5617890000.0;24190600000.0;44817100000.0;8.98;2.4;2.09;10.31;5.62;38.0%;1.34;23.9%;0.44;15.8%;2.33;7.8%;-0.96;5.6%;10.2%;23.3%;5.87;2.7;10.41;2.71;17.8%;0.33;55434700000.0;31341200000.0;10714800000.0;20626400000.0;16465600000.0;11585100000.0;18023700000.0;4305860000.0;2694540000.0;4500000000.0;799023000.0;630657000.0;;;;;;
IRBR3;ON NM;IRBBRASIL RE ON NM;Previdência e Seguros;Seguradoras;41.17;18.45;54.06;68109400.0;82263000.0;3386770000.0;;90.01;0.46;0.81;50.69;-6.14;0.8%;0.52;-8.5%;0.16;0.6%;;-2.5%;;0.0%;;0.9%;;;;;;0.3;21686800000.0;0.0;0.0;0.0;0.0;4169510000.0;6478740000.0;-551197000.0;37626000.0;1457590000.0;-114005000.0;47744000.0;;;;;;
VAMO3;ON NM;VAMOS ON NM;Diversos;Aluguel de carros;8.1;7.39;14.31;66897300.0;1104320000.0;8945030000.0;17696900000.0;13.85;0.58;1.83;4.42;4.27;44.4%;1.48;34.8%;0.47;10.7%;3.15;10.9%;-1.02;4.1%;12.6%;13.2%;6.8;2.03;8.44;2.13;63.6%;0.31;19219200000.0;10415300000.0;1663400000.0;8751900000.0;5600510000.0;4878780000.0;6024180000.0;2096690000.0;645802000.0;1481510000.0;548818000.0;115800000.0;;;;;;
YDUQ3;ON;YDUQS PART ON;Diversos;Serviços Educacionais;19.27;6.47;23.7;66230600.0;309089000.0;5956140000.0;10119100000.0;31.67;0.61;1.84;10.48;7.33;59.3%;1.19;16.2%;0.61;3.8%;6.84;8.3%;-1.49;1.4%;9.7%;5.8%;6.41;1.52;12.45;1.65;9.0%;0.51;9798220000.0;5344630000.0;1181640000.0;4162990000.0;2561060000.0;3239030000.0;5019500000.0;813085000.0;188071000.0;1296590000.0;257145000.0;92519000.0;;;;;;
BRKM5;PNA N1;BRASKEM PNA N1;Químicos;Petroquímicos;19.06;16.07;30.95;65115300.0;797208000.0;15194800000.0;39043300000.0;-3.22;-5.91;3.03;6.3;-5.0;2.7%;0.21;-4.2%;0.17;-6.9%;1.16;-3.3%;-0.3;0.0%;-5.1%;-93.9%;17.63;1.54;-12.86;8.47;13.7%;0.79;92015300000.0;42527800000.0;18679300000.0;23848500000.0;37275800000.0;5022600000.0;72867500000.0;-3036790000.0;-4714840000.0;16675500000.0;-626131000.0;-2418210000.0;;;;;;
CVCB3;ON NM;CVC BRASIL ON NM;Viagens e Lazer;Viagens e Turismo;3.3;2.2;4.57;63715500.0;525591000.0;1734450000.0;2125070000.0;-3.62;-0.91;3.97;0.83;-300.18;100.0%;1.37;-0.5%;0.43;-38.0%;-4.19;-0.1%;-1.26;0.0%;-0.2%;-109.8%;10.4;0.84;-367.79;1.73;-4.3%;0.31;4025370000.0;756601000.0;365980000.0;390621000.0;2214920000.0;436424000.0;1262050000.0;-5778020.0;-479179000.0;375838000.0;90424000.0;-87504000.0;;;;;;
CPFE3;ON;CPFL ENERGIA S.A. ON;Energia Elétrica;Energia Elétrica;35.86;26.63;38.74;61461800.0;1152250000.0;41319800000.0;60745800000.0;7.7;4.66;2.27;15.77;3.83;33.2%;1.03;27.0%;0.56;14.0%;-13.48;14.6%;-1.11;8.0%;16.6%;29.5%;4.79;0.85;5.63;1.38;10.0%;0.54;73774900000.0;25129600000.0;5703710000.0;19425900000.0;16947000000.0;18172700000.0;39939700000.0;10786600000.0;5367420000.0;9974970000.0;2614540000.0;1247520000.0;;;;;;
SMTO3;ON NM;SAO MARTINHO ON NM;Alimentos Processados;Açucar e Alcool;25.8;22.93;40.73;59716900.0;354011000.0;9133480000.0;17049000000.0;9.13;2.83;1.41;18.3;7.21;28.5%;1.45;20.2%;0.47;15.9%;2.36;6.5%;-1.36;4.8%;7.2%;15.4%;5.17;2.6;13.46;1.47;15.7%;0.32;19492900000.0;9533300000.0;1617800000.0;7915490000.0;6284260000.0;6479560000.0;6284200000.0;1266840000.0;1000870000.0;1592400000.0;229087000.0;210635000.0;;;;;;
EGIE3;ON;ENGIE BRASIL ON;Energia Elétrica;Energia Elétrica;41.24;36.45;45.33;59620800.0;815928000.0;33648900000.0;48419300000.0;9.98;4.13;3.99;10.34;6.09;53.4%;3.02;49.6%;0.85;30.3%;65.09;14.0%;-1.42;7.0%;15.5%;40.0%;7.52;1.09;8.77;2.12;3.9%;0.28;39397400000.0;17855700000.0;3085250000.0;14770400000.0;6324340000.0;8436830000.0;11138200000.0;5521680000.0;3371920000.0;2513510000.0;1216800000.0;867279000.0;;;;;;
SANB11;UNT;SANTANDER UNT;Intermediários Financeiros;Bancos;29.09;24.29;31.93;59388400.0;7498530000.0;109066000000.0;;12.3;2.36;1.27;22.91;;;;;;0.0%;;0.0%;;5.5%;;10.3%;;;;;-11.1%;;1159080000000.0;;;;;85913600000.0;;;8864230000.0;;;2024580000.0;0.0;0.0;12914400000.0;4143800000.0;16487100000.0;6845860000.0
IGTI11;UNT N1;IGUATEMI S.A UNT N1;Exploração de Imóveis;Exploração de Imóveis;23.35;17.67;24.71;58765600.0;2104090000.0;7018660000.0;8857590000.0;25.22;0.93;1.69;13.82;12.58;62.0%;6.19;49.2%;0.97;25.0%;11.99;7.7%;-4.16;0.9%;9.0%;6.7%;12.15;1.71;15.88;0.7;13.1%;0.16;7267230000.0;2898910000.0;1059980000.0;1838930000.0;1409750000.0;4153350000.0;1134690000.0;557837000.0;278294000.0;279547000.0;151521000.0;59706000.0;;;;;;
RECV3;ON NM;PETRORECONCA ON NM;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;23.04;16.84;28.79;57878900.0;293338000.0;6758510000.0;6957180000.0;7.26;3.17;1.53;15.1;7.23;37.0%;2.33;32.2%;0.98;32.1%;49.31;13.5%;-5.69;4.3%;16.1%;21.0%;4.8;1.12;7.45;0.21;16.8%;0.42;6912650000.0;919560000.0;720895000.0;198665000.0;1296350000.0;4429210000.0;2901960000.0;934459000.0;930890000.0;747829000.0;199184000.0;145097000.0;;;;;;
TRPL4;PN N1;TRANSMISSÃO PAULISTA PN N1;Energia Elétrica;Energia Elétrica;26.46;19.68;27.05;57338800.0;658883000.0;17434000000.0;24651700000.0;7.38;3.59;0.97;27.28;5.51;59.8%;3.03;54.9%;0.5;41.9%;6.29;9.0%;-1.61;8.3%;9.5%;13.1%;7.73;1.9;7.8;0.5;13.9%;0.16;35162700000.0;9073800000.0;1856180000.0;7217610000.0;5844500000.0;17977200000.0;5759320000.0;3162190000.0;2362290000.0;1482510000.0;753281000.0;470042000.0;;;;;;
POMO4;PN N2;MARCOPOLO PN N2;Material de Transporte;Material Rodoviário;8.35;2.94;8.35;57236600.0;946893000.0;7906560000.0;8939630000.0;9.92;0.84;2.35;3.56;9.73;21.7%;1.23;12.7%;1.04;12.5%;3.19;10.7%;19.01;4.0%;14.6%;23.6%;9.43;2.16;11.0;0.73;10.5%;0.84;7613290000.0;2464320000.0;1431250000.0;1033070000.0;4614030000.0;3369750000.0;6422160000.0;812665000.0;796730000.0;1614830000.0;230154000.0;159858000.0;;;;;;
LWSA3;ON NM;LOCAWEB ON NM;Programas e Serviços;Programas e Serviços;5.66;4.43;9.54;57057100.0;596886000.0;3378370000.0;2341410000.0;-381.48;-0.01;1.16;4.89;49.0;45.4%;2.7;5.5%;0.75;-0.7%;5.76;1.5%;10.37;0.9%;2.1%;-0.3%;12.68;1.45;33.96;0.02;41.7%;0.28;4496010000.0;70052000.0;1107020000.0;-1036960000.0;1900270000.0;2921510000.0;1249720000.0;68942000.0;-8856000.0;330090000.0;15982000.0;3870000.0;;;;;;
CXSE3;ON NM;CAIXA SEGURI ON NM;Previdência e Seguros;Seguradoras;14.12;7.5;14.82;56657100.0;3000000000.0;42360000000.0;40480800000.0;12.01;1.18;3.32;4.25;-364.1;;;;3.29;0.0%;22.16;-0.9%;22.2;7.2%;-1.1%;27.7%;-347.99;17.58;-347.95;;;;12879000000.0;0.0;1879160000.0;-1879160000.0;2026610000.0;12760400000.0;0.0;-116341000.0;3528290000.0;0.0;-30628000.0;916574000.0;;;;;;
MRFG3;ON NM;Marfrig ON NM;Alimentos Processados;Carnes e Derivados;8.68;6.11;10.4;54158200.0;932000000.0;8089760000.0;40242800000.0;-3.74;-2.32;1.32;6.58;9.59;10.0%;0.06;0.6%;0.06;-4.0%;0.84;0.6%;-0.15;0.0%;0.9%;-35.3%;5.29;1.22;47.71;9.09;32.7%;1.02;133957000000.0;55695300000.0;23542200000.0;32153100000.0;54065100000.0;6129530000.0;136355000000.0;843557000.0;-2163330000.0;34695100000.0;707658000.0;-111660000.0;;;;;;
AURE3;ON NM;AUREN ON NM;Energia Elétrica;Energia Elétrica;13.27;11.62;13.67;53191000.0;1000000000.0;13270000000.0;16450200000.0;-41.77;-0.32;1.07;12.37;14.53;21.6%;2.15;14.8%;0.46;-5.1%;6.36;3.1%;-1.24;22.6%;3.6%;-2.6%;10.58;1.54;18.01;0.52;53.5%;0.21;28994600000.0;6418560000.0;3238390000.0;3180170000.0;5937860000.0;12369000000.0;6181890000.0;913147000.0;-317689000.0;1703700000.0;196383000.0;107593000.0;;;;;;
PETZ3;ON NM;PETZ ON NM;Comércio;Produtos Diversos;3.49;3.09;7.63;52731600.0;462524000.0;1614210000.0;1598870000.0;50.38;0.07;0.9;3.9;8.75;46.6%;0.51;5.9%;0.41;1.0%;2.49;4.6%;-2.01;0.5%;5.8%;1.8%;3.21;1.9;8.67;0.25;27.0%;0.79;3975300000.0;456429000.0;471765000.0;-15336000.0;1368760000.0;1801540000.0;3140670000.0;184469000.0;32038000.0;794123000.0;44239000.0;1477000.0;;;;;;
TAEE11;UNT;TAESA UNT;Energia Elétrica;Energia Elétrica;35.4;32.08;37.85;52021200.0;1033500000.0;12195300000.0;20588200000.0;10.66;3.32;1.83;19.31;7.73;68.9%;4.75;61.4%;0.63;44.6%;4.58;8.1%;-1.43;6.3%;9.0%;17.2%;12.91;2.71;13.05;1.51;5.9%;0.13;19422900000.0;10067700000.0;1674800000.0;8392940000.0;4217840000.0;6652330000.0;2567240000.0;1577310000.0;1144270000.0;686466000.0;378534000.0;278942000.0;;;;;;
SLCE3;ON NM;SLC Agricola ON NM;Agropecuária;Agricultura;19.18;17.17;22.39;50424300.0;443330000.0;8503060000.0;11922200000.0;7.39;2.59;1.64;11.72;3.63;31.6%;0.88;24.3%;0.51;12.7%;2.16;14.2%;-2.79;6.6%;16.4%;22.1%;4.67;1.97;5.09;0.98;38.7%;0.58;16548900000.0;5081930000.0;1662810000.0;3419120000.0;7972230000.0;5197090000.0;9627220000.0;2343690000.0;1150000000.0;2100690000.0;421824000.0;164827000.0;;;;;;
MOVI3;ON NM;MOVIDA ON NM;Diversos;Aluguel de carros;8.2;6.01;14.17;48286900.0;362302000.0;2970880000.0;14636600000.0;-66.45;-0.12;0.98;8.36;1.34;32.2%;0.28;21.1%;0.14;-0.4%;3.57;10.2%;-0.21;1.5%;12.7%;-1.5%;3.86;1.21;6.58;4.52;34.5%;0.49;21734600000.0;13676900000.0;2011130000.0;11665700000.0;4746490000.0;3027690000.0;10559400000.0;2224060000.0;-44707000.0;2666220000.0;519546000.0;-65720000.0;;;;;;
CMIN3;ON N2;CSNMINERACAO ON N2;Mineração;Minerais Metálicos;6.33;3.71;7.99;47927100.0;5485340000.0;34722200000.0;32536100000.0;11.27;0.56;3.03;2.09;5.93;46.7%;2.0;33.8%;1.17;17.8%;3.89;19.8%;-7.38;12.3%;33.7%;26.9%;4.72;2.96;5.55;0.74;-9.6%;0.59;29625100000.0;8448120000.0;10634200000.0;-2186060000.0;13472900000.0;11444200000.0;17345900000.0;5859040000.0;3081280000.0;4839550000.0;1725200000.0;1199930000.0;;;;;;
RAIZ4;PN N2;RAIZEN PN N2;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;3.85;2.17;4.41;47805800.0;10352500000.0;39857200000.0;82881200000.0;9.98;0.39;1.78;2.17;3.84;8.5%;0.18;4.7%;0.32;1.9%;10.07;8.3%;-0.94;6.9%;10.6%;17.8%;4.53;1.07;7.99;2.27;2.4%;1.77;125521000000.0;50939900000.0;7915870000.0;43024000000.0;59815000000.0;22415900000.0;221737000000.0;10371200000.0;3993100000.0;58491700000.0;2484690000.0;779203000.0;;;;;;
SMFT3;ON NM;SMART FIT ON NM;Viagens e Lazer;Atividades Esportivas;24.26;12.95;26.03;47655000.0;586242000.0;14222200000.0;14919700000.0;31.46;0.77;3.02;8.04;32.97;40.8%;6.72;20.4%;1.08;21.5%;12.9;3.3%;-2.85;1.9%;4.3%;9.6%;9.75;1.47;34.59;0.74;9.8%;0.16;13195300000.0;3464520000.0;2767010000.0;697511000.0;3471320000.0;4713060000.0;2117150000.0;431342000.0;452074000.0;1089190000.0;222646000.0;60277000.0;;;;;;
BHIA3;ON;CASAS BAHIA ON;Comércio;Eletrodomésticos;8.41;6.98;66.5;44626300.0;95083000.0;799648000.0;7811650000.0;-0.45;-18.8;0.18;46.63;0.55;29.0%;0.03;4.8%;0.02;-5.9%;-0.17;4.5%;-0.06;0.0%;6.2%;-40.3%;3.02;0.74;5.37;1.95;4.6%;0.94;32269000000.0;8654000000.0;1642000000.0;7012000000.0;13375000000.0;4434000000.0;30278000000.0;1456000000.0;-1788000000.0;6590000000.0;-129000000.0;-836000000.0;;;;;;
ENAT3;ON;ENAUTA PART ON;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;21.83;10.47;22.24;44397700.0;265807000.0;5802570000.0;6438000000.0;83.91;0.26;1.5;14.58;14.51;36.9%;3.58;24.7%;0.71;4.3%;5.6;4.9%;-3.06;0.7%;7.0%;1.8%;7.54;1.77;16.1;0.68;17.2%;0.2;8162980000.0;2650540000.0;2015110000.0;635434000.0;2392520000.0;3876330000.0;1618970000.0;399846000.0;69150000.0;96044000.0;-205706000.0;-272488000.0;;;;;;
ALPA4;PN N1;ALPARGATAS PN N1;Tecidos, Vestuário e Calçados;Calçados;9.4;7.02;11.3;43901800.0;683062000.0;6420780000.0;6983860000.0;-3.44;-2.73;1.72;5.46;142.6;40.1%;1.72;1.2%;1.01;-50.0%;2.9;0.7%;10.71;0.0%;0.9%;-50.1%;27.25;3.25;155.1;0.4;2.3%;0.59;6327390000.0;1485610000.0;922525000.0;563080000.0;3199600000.0;3726780000.0;3734150000.0;45027100.0;-1866620000.0;1009150000.0;27907100.0;-1605840000.0;;;;;;
FLRY3;ON NM;FLEURY ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;15.75;12.96;18.55;43809600.0;547191000.0;8618260000.0;11718500000.0;23.08;0.68;1.66;9.46;10.29;27.0%;1.47;14.2%;0.75;6.3%;9.36;7.3%;-2.46;2.8%;8.4%;7.2%;8.09;1.48;13.99;0.79;21.1%;0.51;11533000000.0;4076890000.0;976638000.0;3100250000.0;2838560000.0;5177130000.0;5881160000.0;837842000.0;373429000.0;1870050000.0;315948000.0;174198000.0;;;;;;
TEND3;ON NM;Tenda ON NM;Construção Civil;Incorporações;10.72;4.45;15.16;43688400.0;123094000.0;1319570000.0;1835440000.0;-5.7;-1.88;1.47;7.27;13.76;18.3%;0.47;3.5%;0.29;-8.6%;2.58;2.1%;-0.87;0.0%;2.6%;-25.8%;11.79;1.31;19.13;1.41;9.1%;0.61;4561620000.0;1264030000.0;748158000.0;515875000.0;2153630000.0;895290000.0;2779310000.0;95922900.0;-231313000.0;786312000.0;52411000.0;-23765000.0;;;;;;
PSSA3;ON;PORTO SEGURO SA ON;Previdência e Seguros;Seguradoras;26.0;21.56;28.95;42539900.0;646586000.0;16811200000.0;5351780000.0;7.74;3.36;1.42;18.34;0.65;100.0%;0.54;82.4%;0.31;7.1%;5.45;47.1%;-2.61;5.4%;59.6%;18.3%;0.2;1.09;0.21;;15.9%;0.57;54678100000.0;0.0;11459500000.0;-11459500000.0;36302700000.0;11857900000.0;31282100000.0;25775300000.0;2173240000.0;8419590000.0;7003370000.0;579266000.0;;;;;;
STBP3;ON NM;SBPAR ON NM;Transporte;Serviços de Apoio e Armazenagem;10.92;7.1;11.17;40223700.0;864170000.0;9436740000.0;9289400000.0;23.46;0.47;4.31;2.54;16.22;46.6%;4.87;30.0%;2.06;20.8%;41.38;12.7%;-6.2;4.0%;14.9%;18.4%;11.64;1.35;15.97;0.19;24.0%;0.42;4587470000.0;422220000.0;569561000.0;-147341000.0;874231000.0;2191630000.0;1936760000.0;581777000.0;402334000.0;533694000.0;194719000.0;139038000.0;;;;;;
